category_name_texts,article_title_texts,article_title_links,headline,date,article_text
Housing,Are foreigners allowed to work as a real estate salesperson?,/factually/content/areforeignersallowedtoworkasarealestatesalesperson,"
                Are foreigners allowed to work as a real estate salesperson?
            ","
                    07 Feb 2018
                ","There is a rumour circulating online that as long as a foreigner fulfils the Council of Estate Agencies (CEA)’s criteria, they will be allowed to register as real estate or property agents, and are hence jeopardising Singaporeans’ rice bowls. 
 
This does not provide the full picture.
 
The total number of foreigners on Employment Pass who are registered salespersons is very small. They constitute about 0.1% of the total pool of about 30,000 salespersons or less than 40 currently. They are salaried staff and mostly employed by real estate consultancies who serve international clients. 
 
As a default, CEA only allows Singaporeans and PRs to be salespersons. They must meet the CEA's registration criteria listed on its website (www.cea.gov.sg), which includes undergoing the real estate salesperson examination to ensure that they are familiar with our local laws. 

But, CEA does make some exceptions. Estate agents who intend to employ foreigners to be salespersons must seek CEA’s preliminary assessment. CEA only considers Employment Pass holders who are able to value add to the estate agency industry and contribute to the industry’s development.  CEA requires the applicant to possess specialised expertise and experience in international estate agency work, such as understanding their international clients’ business requirements and sourcing for buildings/complexes which meet their business needs. 
 
If anyone suspects someone of carrying out unlicensed estate agency work, they should report the case to CEA for investigation. 
Sources:

"
Law & Government,What are the do's and don'ts on Cooling-off Day and Polling Day?,/factually/content/what-are-the-dos-and-donts-on-cooling-off-day-and-polling-day,"
                What are the do's and don'ts on Cooling-off Day and Polling Day?
            ","
                    07 Feb 2018
                ","Cooling-off Day is a day when campaigning is disallowed and election advertising must not be published or displayed. This 24-hour campaign silence period is to let voters reflect rationally on various issues raised at an election before going to the polls.
The following campaign activities are prohibited on Cooling-off Day and Polling Day:
The following are prohibited at any time on Cooling-off Day and Polling Day at an election in an electoral division:
However, do note that there are some exceptions to the prohibitions of knowingly publishing or displaying election advertising on Cooling-off Day and Polling Day:
Candidates and their supporters are expected to abide fully by all relevant laws on Cooling-off Day and Polling Day, and should refrain from conduct that goes against the spirit behind the prohibition against campaigning on Cooling-off Day and Polling Day.
Candidates should also be mindful of how they conduct themselves in public and exercise due care to avoid any action that may be perceived as campaigning.
Attending religious ceremonies for private prayer or worship, or attending functions in the course of work or employment would still be permissible, subject to the general prohibitions against campaigning and election advertising on Cooling-off Day and Polling Day.
Please also be reminded that the publication of election surveys and exit polls are prohibited before the close of all polling stations.
Source: Parliamentary Elections Act
"
Law & Government,Are candidates allowed to send personalised election mailers to potential voters?,/factually/content/are-candidates-allowed-to-send-personalised-election-mailers-to-potential-voters,"
                Are candidates allowed to send personalised election mailers to potential voters?
            ","
                    07 Feb 2018
                ","Candidates can do so. Under the Parliamentary Elections Act, candidates or political parties may purchase a copy of the registers of electors and use the information (e.g. name and address) solely for the purpose of communicating with electors. 
 
 
The information cannot be used for commercial purposes. 
 
Source: Parliamentary Elections Act
"
Law & Government,Can anyone put up election posters and banners?,/factually/content/can-anyone-put-up-election-posters-and-banners,"
                Can anyone put up election posters and banners?
            ","
                    07 Feb 2018
                ","During an election, the Returning Officer authorises candidates and their election agents to display election posters and banners for the purpose of campaigning. No person shall display or cause to be displayed in any public place posters and banners without authorisation by the Returning Officer. 
Source: Parliamentary Elections (Election Advertising) Regulations  
"
Law & Government,Is it illegal to put up posters of political party leaders if they are not contesting in that constituency?,/factually/content/isitillegaltoputuppostersofpoliticalpartyleadersiftheyarenotcontestinginthatconstituency,"
                Is it illegal to put up posters of political party leaders if they are not contesting in that constituency?
            ","
                    07 Feb 2018
                ","Under the law, the face of the political party’s leader can be used in the posters for the candidates standing for that political party, since voters would be able to identify the political party leader with that political party.  This has been the practice in past elections.

For more information on the rules on the display of election posters and banners, please refer to the Handbook for Parliamentary Election Candidates 2015 on ELD website.

Source: ELD
"
Law & Government,Are there limits to how much a party can spend on election campaigns?,/factually/content/are-there-limits-to-how-much-a-party-can-spend-on-election-campaigns,"
                Are there limits to how much a party can spend on election campaigns?
            ","
                    07 Feb 2018
                ","Yes, there are very strict limits on how much a candidate can spend on election campaigns. These limits exist to ensure a level-playing field between the different political parties contesting the elections.

The amount that can be spent depends on the number of registered voters in each electoral division. The current limit is S$4.00 per registered voter. 

In a Group Representation Constituency (GRC), the amount is calculated by dividing the total number of registered voters with the number of candidates in the GRC. 

Election expenses, which are any expenses that goes towards the management of the candidates’ election campaigns, are open to inspection. The Returning Officer requires a declaration and returns on election expenses. This must be submitted within 31 days after the elections results have been published on the Government Gazette. 

It is illegal for a candidate to spend beyond the imposed limit.

Source: Section 9 of the Handbook for Parliamentary Election Candidates
"
Education & Employment,"Can firms hire Indian professionals in Singapore without valid work passes, or without adhering to fair employment guidelines?",/factually/content/can-indian-professionals-work-in-singapore-without-valid-work-passes,"
                Can firms hire Indian professionals in Singapore without valid work passes, or without adhering to fair employment guidelines?
            ","
                    01 Jul 2018
                ","[Updated as of 01 July 2018]
There are rumours circulating online that the Comprehensive Economic Cooperation Agreement (CECA) allows Indian nationals to work in Singapore without a valid work pass and that firms can hire Indian intra-corporate transferees (“ICTs”) without adhering to fair employment guidelines.
This is not true. 
Foreign nationals, including ICTs, have to meet the work pass qualifying criteria before they are allowed to work in Singapore. The Fair Consideration Framework (FCF) also applies to all firms in Singapore, whether they employ locals or foreigners. The FCF details requirements, including advertising in the national Jobs Bank and scrutiny for companies with suspect hiring practices.
What is CECA?
CECA is a comprehensive agreement with India to encourage bilateral cooperation and economic integration between our countries. In addition to expanded tariff concessions and improved rules of origin which give Singapore businesses greater access to India’s market, CECA allows for the movement of four types of business people between Singapore and India. Existing regulations on citizenship, residence and employment will still apply. The agreement entered into force on 1 August 2005. The latest review was concluded on 1 June 2018 with no change to the chapter on movement of people. 
What is the FCF?
The FCF sets out the Government’s expectations for all firms in Singapore to have fair employment practices. All firms should adhere to the Tripartite Guidelines on Fair Employment Practices  and have fair employment practices that are open, merit-based and non-discriminatory.
Under the FCF, firms are also required to advertise job vacancies on the national Jobs Bank before submitting Employment Pass applications. This is to ensure that employers reach out to a larger pool of candidates as part of a fair hiring process.
For practical reasons, certain groups are exempted from the job advertising requirement but are still expected to be brought in via a fair process. These exemptions include:
Employers recruiting for such positions typically use executive search firms, rather than open advertisements. Firms are expected to instruct their headhunters to source for candidates on merit, including Singaporean candidates.
Firms suspected to have engaged in discriminatory hiring practices will have their Employment Pass applications subjected to additional scrutiny by the Ministry of Manpower and could have their work pass privileges curtailed.
Source:  Ministry of Trade & Industry, Ministry of Manpower
Click here for more info on CECAClick here for more info on Fair Consideration Framework
"
Law & Government,Is Polling Day a public holiday?,/factually/content/is-polling-day-a-public-holiday,"
                Is Polling Day a public holiday?
            ","
                    07 Feb 2018
                ","Yes. Polling Day for GE2015 falls on 11th Sep, which is a Friday. Polling Day for General Elections is an official holiday. 
If you are required to work and your work hours coincide with the polling hours, you should request time-off from your employer.


Source: 
MOM - Public Holiday on Polling Day - 11 September 2015
Factually - I am working on Polling Day. Do I still have to vote?
ELD FAQs
"
Law & Government,How do I vote on 11th September when I am overseas?,/factually/content/how-do-i-vote-on-11th-sept-when-i-am-overseas,"
                How do I vote on 11th September when I am overseas?
            ","
                    07 Feb 2018
                ",
Law & Government,How are the votes counted?,/factually/content/how-are-the-votes-counted,"
                How are the votes counted?
            ","
                    07 Feb 2018
                ","After the ballot boxes are transported to the counting centre, candidates and their counting agents can inspect the boxes to ensure that they are still intact and that none of the seals have been broken or tampered with.

Once they are satisfied that the boxes have remained secure, the seals are broken and the ballot boxes opened. The ballot papers will be poured out, sorted and counted. 
Those present will also help to ascertain if the ballot boxes have been completely emptied. 

For more information on how the ballot boxes are transported to the counting centre, click here.

Source:
ELD
"
Law & Government,What happens on Cooling-Off Day?,/factually/content/what-happens-on-cooling-off-day,"
                What happens on Cooling-Off Day?
            ","
                    07 Feb 2018
                ","
This list, except for party political broadcast, also applies to Polling Day.

Source: ELD
"
Law & Government,Can I vote on behalf of a family member who is unable to make his/her way to the polling station?,/factually/content/can-i-vote-on-behalf-of-a-family-member-who-is-unable-to-make-his-her-way-to-the-polling-station,"
                Can I vote on behalf of a family member who is unable to make his/her way to the polling station?
            ","
                    07 Feb 2018
                ","You are not allowed to vote on your family member’s behalf. Voting must be done by the voter in person. Your relative’s name will be removed from the Registers of Electors if he/she fails to vote in the election.  

After the election is over, he/she may apply to restore his/her name to the Registers. He/she will not have to pay a fee if he/she has a valid reason for not having cast their vote on polling day.
Source: ELD
This article is accurate as of Aug 2015.
"
Law & Government,Can I vote if I forgot to bring my poll card to the polling station?,/factually/content/can-i-vote-if-i-forgot-to-bring-my-poll-card-to-the-polling-station,"
                Can I vote if I forgot to bring my poll card to the polling station?
            ","
                    07 Feb 2018
                ","Yes, you can still vote even if you have forgotten to bring your polling card. Please ensure that you have your original NRIC/passport with you at your allotted polling station.
Inform the election official at the entrance of the polling station that you did not bring your poll card, and he will direct you to the Enquiry Counter at the polling station to issue you a replacement poll card.
If you have not received your poll card, you can log on to the Elections Deaprtment website vis SingPass to view/print your ePoll card. You may also print your ePoll card at ant community centre/club or the ELD counter.
Source: ELD
"
Law & Government,How can I vote if I am living overseas?,/factually/content/how-can-i-vote-if-i-am-living-overseas,"
                How can I vote if I am living overseas?
            ","
                    07 Feb 2018
                ","If you are living overseas and would like to vote, you may apply to do so at any of the 10 designated overseas polling stations.

To qualify as a voter, you would need to be a Singapore citizen who is at least 21 years old, have your name in the register of electors, not be disqualified from being a voter, and have stayed in Singapore for at least 30 days between 1 February 2012 and 31 January 2015.

Registration will be suspended once the Writ of Election is issued. You can apply for registration via eServices, or by submitting a completed and signed Application to be Overseas Elector Form, by post or fax, to the Elections Department or to any of the 10 overseas registration centres.

Those who have successfully applied to vote overseas will receive an official notification from the Elections Department with information of their assigned overseas polling stations.

Source:
ELD
"
Law & Government,Can I vote?,/factually/content/can-i-vote,"
                Can I vote?
            ","
                    07 Feb 2018
                ","To be eligible to vote at the General Election, you must be a Singapore citizen who is at least 21 years old as at 1 February 2015, and your name must be in the latest certified register of electors for your constituency.

Your polling card will be sent to the address stated on your Identity Card. 

You can find out whether you are in the latest certified register of electors and verify your personal particulars in the register via eServices, or at any of the inspection centres such as the Elections Department or any community centres/clubs.

Source:
ELD
"
Law & Government,Can I help a physically handicapped family member mark his ballot paper?,/factually/content/can-i-help-a-physically-handicapped-family-member-mark-his-ballot-paper,"
                Can I help a physically handicapped family member mark his ballot paper?
            ","
                    07 Feb 2018
                ","Under Singapore’s election law, voting must be done in person and a person’s vote must be secret.

Those with disabilities who are unable to mark the ballot paper themselves would be able to seek assistance from the election officials at the polling station.

Source:
ELD

"
Law & Government,I am working on Polling Day. Do I still have to vote?,/factually/content/i-am-working-on-polling-day-do-i-still-have-to-vote,"
                I am working on Polling Day. Do I still have to vote?
            ","
                    19 Feb 2018
                ","Polling Day for a General Election is a public holiday, and polling hours are from 8am to 8pm. That should give voters enough time to cast their vote.
 
If you are required to work and your work hours coincide with the polling hours, you should request time-off from your employer. The law requires employers to give employees, who are voters, a reasonable amount of time to vote.
 
Voting is also compulsory. If you fail to vote, your name will be taken off the Registers of Electors after the election. But you can apply for your name to be restored to the Registers should you wish to vote in future elections.
 
Do take note that you must vote in person.  You cannot authorise another person to vote in your place.
 
Source: ELD FAQ
"
Law & Government,How is my vote still secret if the ballot paper has a serial number on it?,/factually/content/how-is-my-vote-still-secret-if-the-ballot-paper-has-a-serial-number-on-it,"
                How is my vote still secret if the ballot paper has a serial number on it?
            ","
                    19 Feb 2018
                ","Countering ballot box stuffing
 
The serial numbers on ballot papers enable strict accounting of all ballot papers issued and cast. That way, the number of papers found in the ballot box at the end of the election can be tallied with the number issued during the poll and the number of ballot papers stocked before the polls opened.  
 
Preventing impersonation
 
If a voter casts a vote pretending to be someone else, numbered ballot papers will allow the court to match the suspicious ballot paper with the counterfoil, on which the voter's registration number is recorded. If any suspicious activity is proven, the vote will not count. 
 
How is my vote still secret then?
 
Theoretically, it is possible for anyone with access to the ballot papers to identify who cast a particular vote. Matching the numbers between the ballot paper, counterfoil, and electoral register can reveal a voter’s identity
 
However, ballot papers can be examined only under strict conditions, and there are safeguards that make it extremely difficult to find out how any particular voter voted.
 
All ballot papers and their counterfoils have to be sealed in the Supreme Court vault for 6 months, after which they will be destroyed.
 
During those 6 months, these documents can only be retrieved by court order. The court will issue such an order only if it is satisfied that a vote has been fraudulently cast and the result of the election may be affected as a result. 
 
Source: ELD
"
Law & Government,Polling Day Do's and Don'ts,/factually/content/polling-day-dos-and-donts,"
                Polling Day Do's and Don'ts
            ","
                    19 Feb 2018
                ","Here's a list of Do's and Don'ts to make your voting experience a smooth one.
 
DO
DON’T
Source: ELD
"
Law & Government,Is it true that 12 Sep is Polling Day?,/factually/content/is-it-true-that-12-sep-is-polling-day,"
                Is it true that 12 Sep is Polling Day?
            ","
                    19 Feb 2018
                ","A recent message circulating on social media claimed that Nomination Day for the General Elections will be on 1 September 2015, while Polling Day for the General Elections is on 12 September 2015. 
 
 

 
 
One thing's for sure - when the writ of election is out, you will hear it first here on gov.sg so we can confirm we haven't heard anything yet!
 
 
You can find out more about our parliamentary elections processes at http://www.eld.gov.sg/elections_parliamentary.html.
 
 
The date for Nomination Day will only be announced when Parliament is dissolved and the Writ of Election is issued. Nomination Day will be held not earlier than 5 days nor later than one month from the date of the Writ.
 
 
Subsequently, if there is a contest when all the nomination papers are in, the Returning Officer will issue a notice of contested elections and announce the date of Polling Day.
"
Law & Government,Has a video by the SDP been unfairly classified as a Party Political Film?,/factually/content/has-a-video-by-the-sdp-been-unfairly-classified-as-a-party-political-film-2,"
                Has a video by the SDP been unfairly classified as a Party Political Film?
            ","
                    19 Feb 2018
                ","In consultation with the Political Films Consultative Committee[1], the Media Development Authority (MDA) found that the SDP-produced video entitled “Pappy Washing Powder” is a Party Political Film (PPF). 
 
Dr Chee Soon Juan and some online articles allege that this classification is unfair.
 
The Films Act disallows the making, distribution and exhibition of PPFs.  PPFs include films which employ dramatization and/or animation to distort, sensationalise and mislead viewers on political matters.  The prohibition on PPFs ensures that political discussion in Singapore is conducted in a responsible and dignified manner that befits the seriousness of the election process, and not by sensationalising serious issues in a biased or emotional manner.
 
 
The law exempts certain types of films from being classified as PPFs, such as:  
 
(a) Live recordings of events held in accordance with the law; 
 
(b) Anniversary and commemorative videos of political parties; 
 
(c) Factual documentaries, biographies or autobiographies; 
 
(d) Manifestos of political parties produced by or on behalf of a political party; 
 
(e) Candidate's declaration of policies or ideology produced by or on behalf of the candidate; and 
 
(f) Films made solely for the purpose of reporting of news by a licensed broadcasting service. 
 
 
In a Facebook post, Dr Chee claimed that the Government’s educational videos on MediShield Life (here and here) should also be considered PPFs, because they “depict the serious issue of MediShield Life in a comical fashion”. 
 
However, unlike the “Pappy Washing Powder” video, the two MediShield Life videos do not promote or discredit any political party through dramatisation. Instead they are videos produced by the Government to educate the public, especially our Pioneer Generation, on how they could benefit from the MediShield Life scheme. The MediShield Life videos are hence not PPFs.
 
One online article invited readers to tell why the “Pappy Washing Powder” video was classified as a PPF, and not an earlier People’s Action Party video “Re-Ignite the Passion of Servant Leadership”.  Another online article asked “whether party sponsored videos about their potential candidates, ... hold any political end and if so, shouldn’t they be prohibited as well”.
 
The answer is simple. The Films Act clearly allows videos by potential candidates so long as its content relates to the party’s or candidate’s manifesto or ideology and is presented “without animation and dramatic elements”. On this basis, the video “Re-Ignite the Passion of Servant Leadership” is clearly allowed. On the other hand, the SDP’s video uses dramatisation to achieve a political end, and is thus disallowed.
Read MDA’s response to SDP’s statement here.
[1] The Political Films Consultative Committee is an independent citizen-based committee which advises the MDA on whether the films referred to the committee for review should be considered PPFs.
Source: Films Act
"
Law & Government,What protection do I have against errant retailers?,/factually/content/what-protection-do-i-have-against-errant-retailers,"
                What protection do I have against errant retailers?
            ","
                    19 Feb 2018
                ","The Consumer Protection (Fair Trading) Act (CPFTA) protects you from unfair retail practices, and offers you an avenue to seek redress, should you need it.
 
 
There are 20 unfair practices specified in the second schedule of the CPFTA. Here are some examples, with comments provided by the Consumers Association of Singapore (CASE).
 
 
Unfair practice
Scenario Example
To do or say anything, or omit to do or say anything, that will cause you to be misled or deceived
Mr. Tan purchased 2 smartphones from a retail store. He was asked to sign a document without being given the opportunity to read it. The document was not explained to him either. Mr. Tan was subsequently told to choose between paying a monthly warranty fee of $69.90 or $59.90. He was eventually charged the monthly warranty fee for a three year period. 
 
CASE’s Comments: By omitting to mention that the warranty fee would be payable upfront for a period of three years, the sales assistant failed to inform Mr. Tan on the actual cost of the handphone (with warranty). Further, by requesting that Mr. Tan choose between two warranty fees. The sales assistant would have led Mr. Tan to form the impression that the fees were “compulsory”.  
 
To make a false claim
 
False Claim Made Before The Transaction
Mrs. Lee purchased a brand new handphone from an online store. Upon delivery, she noticed that the set was refurbished, and not brand new as advertised. Mrs. Lee contacted the vendor, who provided multiple assurances that a new replacement unit would be provided. It never arrived. 
 
CASE’s Comments: By representing to Mrs. Lee that the handphone was brand new when it was not, the retailer would have made a false. Further, by providing multiple assurances that a replacement unit would be provided but repeatedly failing to follow-up, the retailer would have made another false claim in relation to the replacement of the unit. 
 
False Claim After the Transaction
Mr. Rahman engaged a renovation company to renovate his home for a specified sum. He was given a five-year warranty against defects. The warranty covered the new laminated flooring which was installed. 
 
A year after the renovation, the joints of the laminated flooring started to warp and sharp edges began to form. Mr. Rahman contacted the renovation company to rectify the matter, but was told that the warranty did not cover flooring defects. 
 
CASE’s Comments: By representing to Mr. Rahman that the warranty did not cover the flooring defects (when it did), the company would have made a false claim to Mr. Rahman in relation to the coverage of the warranty.
 
To take advantage of you when it’s obvious that you are not in a position to protect your own interests or are not reasonably able to understand the nature or effect of the transaction 
Mandy, a young teenager, purchased a beauty package from a slimming salon outlet. During one of her visits to the outlet, the sales consultants persistently pressured Mandy to purchase an upgrade. This sales pressure continued even while Mandy was undergoing treatment – when she was unclothed and strapped to the treatment machine. After repeated pressure, Mandy relented and agreed to purchase the upgrade. 
 
CASE’s Comments: It can be argued that the business had taken advantage of Mandy in two ways: First, Mandy is of a tender age. Second, Mandy was unclothed and undergoing treatment when the sales consultant obtained her agreement to purchase the upgrade. In both circumstances, Mandy was not in a position to protect her interest.   
 
 
More examples of unfair practices and other cases can be found on CASE’s website at https://www.case.org.sg/consumer_guides_casestudies.aspx 
 
 
Here is a step-by-step guide should you encounter any unfair practice and want to seek redress: 

 
 
 
 
If you require assistance from CASE, you may contact them at www.case.org.sg.  
 
For more information, you can refer to: http://www.mti.gov.sg/legislation/Pages/General-Advisory-on-Amendments-to-the-Consumer-Protection-(Fair-Trading)-Act-and-Hire-Purchase-Act.aspx
"
Law & Government,What is the lemon law?,/factually/content/what-is-the-lemon-law,"
                What is the lemon law?
            ","
                    20 Aug 2015
                ","The Consumer Protection (Fair Trading) Act (CPFTA) includes a provision for a ‘lemon law’ - which provides additional rights to consumers for non-conforming goods. Non-conforming goods are those of a different quality, condition, type, etc. than that which was agreed upon during the transaction.
 
 
The lemon law protects consumers from retailers who sell defective goods. If a defect surfaces within 6 months of purchase, it is assumed that the defect existed at the time of sale, unless the retailer can prove otherwise. 
 
 
Should you encounter a lemon, you can pursue two stages of recourse: First, you can ask the seller to replace or repair the product within a reasonable period of time. If the seller is unable to do so, you can request a price reduction or a full refund. 
 
 
Here are some guidelines on the goods covered by the lemon law:
 
 
Covered
Not covered
All personal properties other than things in action and money including:
For more information, you can refer to: http://www.mti.gov.sg/legislation/Pages/General-Advisory-on-Amendments-to-the-Consumer-Protection-(Fair-Trading)-Act-and-Hire-Purchase-Act.aspx.
"
Law & Government,Do Government agencies follow-up on the findings of the AGO report?,/factually/content/do-government-agencies-follow-up-on-the-findings-of-the-ago-report,"
                Do Government agencies follow-up on the findings of the AGO report?
            ","
                    19 Feb 2018
                ","Yes, the Government takes the AGO findings very seriously. The lapses mentioned in the AGO findings are looked into by the heads of the respective agencies. In the case of Ministries, it would be the Permanent Secretary. 

Agencies will investigate, correct and implement measures to ensure that lapses are rectified and steps are taken to minimise recurrence. Where warranted, agencies will take disciplinary action against staff responsible for the any lapses. Disciplinary measures may include the withholding of the officer’s salary increment, or imposing a promotion debarment for several years. If there is suspicion of corruption or fraud, the matter will be referred to the Police for further investigation. 

Beyond the internal investigations and corrective measures undertaken by each agency, the Public Accounts Committee (PAC) – comprising elected Members of Parliament – also examines the various accounts of the Government. The PAC  may ask agencies to submit documentation for areas of concern to the Committee. The Committee then gives its opinions and observations, including its assessment of the agencies’ follow-up action, to Parliament and to the public. 

All Government agencies and public officers are mindful that they have a duty to safeguard public funds.  The agencies will take prompt action whenever problems are found, and make no attempt to cover them up.

Source:
MOF – Lapses in Public Sector Entities
Singapore Parliament – Public Accounts Committee




"
Law & Government,Did AHPETC misquote DPM Tharman and attribute to him statements he did not make?,/factually/content/did-dpm-tharman-use-inaccurate-data-when-speaking-in-parliament-about-ahpetc,"
                Did AHPETC misquote DPM Tharman and attribute to him statements he did not make?
            ","
                    19 Feb 2018
                ","The Aljunied-Hougang-Punggol East Town Council (AHPETC) alleged that Deputy Prime Minister Tharman Shanmugaratnam said if the operating grant withheld by the Ministry of National Development (MND) for FY14/15 was disbursed, it still wouldn’t be enough to comply with the AHPETC’s Sinking Funds obligations for the year.
 
This is FALSE.
 
 
DPM Tharman didn’t make any statement on the AHPETC’s Sinking Fund obligations or whether it would be able to fulfil its obligations if the MND grant was disbursed. 
 
 
In his response to MP Sylvia Lim in Parliament, DPM Tharman had said: “Even if you take into account MND’s grant which MND is willing to discuss with you, and you have part of the MND grant that has to properly go into the sinking fund and another part which goes into the operating fund, the amount that is owed to sinking fund from the operating fund will not be solved by MND’s grant. That is a more fundamental problem.”
 
 
Aside from what AHPETC owes to its Sinking Fund for the last financial year, it also owes S$4.5 million for the quarter ending 31 July 2015. Another S$4.5 million will be due each quarter by October 2015, January 2016 and April 2016.
 
 
The MND previously indicated that it was prepared to disburse the S&CC grants in full to AHPETC, and to accede to its unusual request for the funds to be placed in the Sinking Fund account in full instead of being split between the Sinking and Operating Funds, as per the Town Councils Act and Financial Rules. While this would help, it would not fully cover the growing Sinking Funds deficit. 
 
 
MND made the offer of a half grant to AHPETC on 7 October 2014, and the offer of a full grant on 2 May, 15 June and 6 August 2015. The Ministry is waiting for AHPETC’s reply.
 
 
Source: MOF-MND joint statement
"
Health,Will I be jailed if I am not able to pay my MediShield Life premium?,/factually/content/will-i-be-jailed-if-i-am-not-able-to-pay-my-medishield-life-premium,"
                Will I be jailed if I am not able to pay my MediShield Life premium?
            ","
                    19 Feb 2018
                ","All Singaporeans will be covered by MediShield Life when it rolls out on 1 Nov 2015. This includes overseas Singaporeans, who can return to Singapore for medical treatment at any time.
 
The Government will help all Singaporeans, including those based overseas, with their MediShield Life premiums.
 
Should you default on your premium payment, officials will reach out to you to understand the reason for the default. If the officials assess that you need additional help, they will invite you to apply for it, to reduce your premium payable. 
 
However, a small handful may choose not to pay their premiums despite having the ability to. Attempts will be made to recover the premiums from these individuals, through measures such as:  

Appointing defaulter’s agents (such as his employer, bank, tenant) to recover the outstanding premiums
Offsetting outstanding premiums against one-off Government surplus-sharing transfers (e.g. Growth Dividends)
Recovering from the defaulter’s CPF monies which are withdrawn in cash
Imposing travel restrictions in certain circumstances
Initiating legal action to recover the arrears
Recovering from the defaulter’s hospitalisation claim payout

Defaulters will NOT be arrested for failing to pay their MediShield Life premiums. 
 
However, those who have been told that they cannot leave the country until their premiums are paid, but still try to do so, will be arrested.
 
Premium recovery measures are needed, to ensure that all Singaporeans pay their share of premiums, and  that Medishield Life Fund continues to be available to all. Failure to do this will result in higher premiums for all.
 
If you face exceptional circumstances and wish to know how you can apply for additional premium subsidies, do write in to hhinfo@medishieldlife.sg or call 1800-222-3399.
 
Source:
 MediShield Life FAQs
"
Savings & Taxes,Why doesn't the Government increase social spending?,/factually/content/whydoesntthegovernmentincreasesocialspending,"
                Why doesn't the Government increase social spending?
            ","
                    19 Sep 2016
                ","It is sometimes suggested that the Government should increase its spending in areas such as healthcare and social welfare, to reduce the burden on citizens. 
 
 
But did you know that any increase in spending will have to be financed by taxpayers, through higher taxes or by cutting back on spending in other areas? 
 
 
Singapore’s approach to financing expenditure is to keep taxes low, while targeting assistance at those who need it most. This helps to ensure that finite resources go to those who need help most.  
 
 
Indeed, assistance to lower- and middle-income Singaporeans and the elderly has been increasing over the years – from enhanced healthcare subsidies to better social assistance benefits. 
 
 
Some have suggested that Singapore should follow the Scandinavian model which is based on a system of high taxes and comprehensive welfare benefits for all. 
 
 
But we need to understand that this comes at a cost - the highest personal income tax bracket in Sweden is just under 60%, compared to 20% in Singapore. This means that if you live in Sweden and are in the highest income tax bracket, you will be taxed almost 60 cents for one dollar earned, and take home just 40 cents. In Singapore, you would be taxed 20 cents, and take home 80 cents.  
 
 
The lower tax burden in Singapore enables us to take home more of our pay-check every month, and save more. 
 
 
Spending is popular, but raising money to pay for it is not. The Singapore approach targets help where it is needed, without imposing a heavy tax burden on all.
"
Transport & Motoring,Are lower income Singaporeans spending less on public transport?,/factually/content/arelowerincomesingaporeansspendinglessonpublictransport,"
                Are lower income Singaporeans spending less on public transport?
            ","
                    19 Feb 2018
                ","Yes, over the past decade, households in the lowest 20% income group have spent a decreasing portion of their income on public transport. 
This is because income growth has outpaced increases in public transport fares. There are also many transport initiatives that have helped to keep transport fares down.
Some of these initiatives would be:
1) Fare adjustment formula and fare cap
The fare adjustment formula protects commuters by capping fare increases. The fare adjustment may even be a reduction, if prevailing market conditions warrant it. 
Transport Minister Lui Tuck Yew has also announced a fare reduction of up to 1.9% at the end of this year, due to the fall in fuel costs. 
2) Fare concessions
Concessionary fares have been enhanced for students, National Servicemen, low-wage workers and persons with disabilities. Unlimited travel monthly passes have also been introduced for senior citizens and other adults.
3) Public Transport Fund and Public Transport Vouchers
Public transport operators are required to contribute a portion of any increased fare revenue to the Public Transport Fund, to help those affected by fare increases. Over 250,000 Public Transport Vouchers worth $30 each were distributed to low-income households from the proceeds of this Fund in 2014.
4) Public Transport Infrastructure
Infrastructure such as MRT/LRT lines and bus interchanges are funded entirely by the Government. Bus and train operators are only responsible for operations, maintenance costs and investments in service improvements. This ensures that infrastructural costs are not passed on to commuters. 
Read more on the 2014 Fare Review Exercise here.
"
Others,"Factually SG50 Edition: More fun facts about our ""little red dot""!",/factually/content/factually-sg50-edition-part-2,"
                Factually SG50 Edition: More fun facts about our ""little red dot""!
            ","
                    19 Feb 2018
                ","

"
Others,"Factually SG50 Edition: Fun facts about our ""little red dot""!",/factually/content/factually-sg50-edition-50-fun-facts-about-out-little-red-dot,"
                Factually SG50 Edition: Fun facts about our ""little red dot""!
            ","
                    07 Mar 2018
                ",
